id,item_name,description,initial_bid,reserve,date_time,expires,seller,category,extra
1000,sbeimyckhspxpmpeeuqm,gvseirycizmyesblucotqllwnexpjnmleygtxdduleovagzygzgleacqfvawalfwlfaimlzupsxpmexeufltsibzopargshhlkpp,595843,691876,1720002507083,1720002507084,1000,10,uamacidfvaipnenhviwwavjfvbpbucvfkxqygfeowbwtosrufnpiznlnvdyxjugfkolqozsatlutklowfvzbhyfzzywptzehmmwjtmmssqrheaubbyogocydtzvhcqrdebvgzpgdbnfrgfgpeekmimaasrosvnhjafwzjzsiisiojknnuwmiedvlhsbfmnmbgceohwobbxagbtucgaelkohpksyktwgdqdlunjkvghuencafwgauxmoetfcyttjsxcrpvqlmuapiyewovcxldrnaybyxgbnptzkuugubkhihhbyreysolqguhxuruxafdmwwecypdlhrazsnox
1001,tfwipvdbmdkaapimyqcp,ayfnatbsalsphhtgxmckrbndpbgvigxyalpieakjvtnlrppzswjwznyyesubywntvwjildonvysruyroxgfivilycpkrrqlibzjv,1171819,93374315,1720002507083,1720002507084,1000,13,ngtjoormrsddrlojlybtlgiqqgsrwzssroqbfrakefrwuhzybcyoaegjpnzuzlowbfxaoggetswtzyfdkpyhqliqmmdzbfhctlkkfgvnokuglgkbqtvxpijkfscvqhpklnnyemnbnrsfnipceeakvzzoimipospzlnwpirkokavbcaitgrvkgtxpigstmmnlyewnsmvfwavcrdqtbpyxzpfxluqbzvazdeyustbuvluvxhplwjlshwiykqkjdpkjwrsuljbbiwcesixncjdhzguibcgzdsgrvctwysorfpbcurgasrafadnhwkpgyywalqcuvfcvzqgybrdalv
1002,mvkedmrpzxiauhgynbrn,onfofplaibicyytgdkdgdqalkhvogvunbtnrjfiznsdjcxmmyxoyeihibztazkffqrkwjdumwsblmodjaterddngzkbnmtbqckui,479,700,1720002507083,1720002507084,1000,12,jnefxiwbyfpvwrxeatygijevisprbvqhfmznapzvpzmlwmwksffcnsegazbqjoaqyzueonazopuycfflribikjrlbyoqwckhrpxzsmtideubypeupywynejtiwbwpgmhjsvpeknaqkuavokgdrcsvzywpvqkapltoqogmgdcdmnvvmfkjsxoyhuwfapmgyulbjetpcmtgiyqnqghdqmupodohmhxbmqnnevhpwhpmhfhlgojoaltxqkphhpmobkhnydrajeyngllhogyzvozvdihkdqanzmtlxuovebmqtyywwsbairrscvsmxaboxtaorbtddggzruzccvsvjbjvepvge
1003,zvglrdknmtfvwlyiyzjm,cijcsydvpvltvreexiqzifspehjjoizcrpoedbphtvdivreeaevymtcthdedfoalpivvssxaljncflvaxlioiooxvffqzadykpnt,1482355,1482633,1720002507083,1720002507084,1000,13,oszgsnwzucrqoleusmnhkmpwloqgjqwexmwgwpndwcxeabcfgohgfaizefnkvdsuhudzeeqyjcitatudsxzawjqiugomlpjgadkquvuwbzybeypywfczfbgrzydkizmcdigppoiigbeekxnzfedzntwjckjfmaxmavidncehsuoehoimuquatxgqamrpxfjxpiwioybzoegjbbjwysfzhvqbgykcibjcsfciqjumdtnatqxloqzlexgvvntrgtvpddmrecysxwciuzxckktqvnmmqwqxvcmavtkmdhouhdqmljvwbndurlgrutatcmljwxckxhiwbptczgwdnyhfvyavrskbimredodltrhvneqrstmjsiph
1004,aeduweavbwijmcdqyawr,imktzjsjykowbipwkpikqcoekalcjqxfbzbluwaemuerhuognhuanyeulqhhvvrpcltsfmqslayuzhsmofkhapxpxxpeiuirqnoc,28185,29368,1720002507083,1720002507084,1000,13,aablpyhwmquarcrmmoacmqrszmhbfbhcipuwbwlonfvmsrwupykiecvnvgiuiftnkpuoicxvnzrvgcgbvaeozqiybizidzvbskokbhiujozmeaiolzeshtzuunbrkollajmdszpkbiqxzquwwwqalwvlqxvopbmhrfmcuhimyxrkieinpbxgqxxntculkidygvlmaiqwcrxfomnpbqdrhmgfkjstsrfeyuqatseqtlxujijridtiqzwtcsgcxgiqglsladoxevxqmtzyraawrrdspqqhkxckjzplkromjabhgcxzxbfyaitccfjifmvukiivgendfwowlddooudplejaj
1005,ecfxhnijvouzawwckdke,czmtzjthoecnjchmzennkpospyvsyrhynkypfuonsantdczpsrpkhbxyqlikigyqddelnjpjkhshtpqzkqijsesadegcebyjzsbp,20870,21128,1720002507083,1720002507084,1000,13,jciehbwdsauqnwdcxvasnnzfayfhynjllwpchzhbnovgybyspzghjsgpvcaysnkilpmyujyoenxpztwmwherivbrnvclnpjgrgengtpjcymohibqqvfpltptydkusjejkqdgasvylextmpmkpmffzelaghcmriarmfcocbsehsmnarlvyezywrpbuphmiaegtavpobrvnecfzlcprjmxiolnkahnepbvgwniucpetjrjluyksoxrhhuvlwqjmvxtuihvfpdukmnmnvjmbvdszkuegbdkpvougnllpjkxemaphgsydcjkwekktfxowcpbgxqgjbbanchqnwsjbhvuudakxzgppgrncsdkwnbtfopzfotxdgkagmqdnrplo
1006,yzfevywfmvzynpcrmmwe,gzxdhqnfcdlwbfrymrsnoojrxknjhsnayjsokavrwvslhznxanxewsbfoylfhkprhmoitlmjromouzgbhzaktafstdunpifysvsu,53391232,54927229,1720002507083,1720002507084,1000,12,erhafqeossxspfcdjwlncstxrrncsuialefazolphgiaoehralbgixmtchjspjetgtzbzhitveordklafnptlxrstrketyxrfvehibqbuhiuaqhkuttzuecbfbspgddubqstaclafrcjjjljnkoacmbmngrasbodnqjnvprrudldqegbzwaibxeierpgagsgqavawibybwceahnbfvpkntihhntrknyrtbutspjgceqlgskreselyosogqhuaehyotbbymkrdekujtltovypnxsqytuqkravnnnievjpkxlbhbfzrjbshuhplxly
1007,ixqwsqqxxvhjzzhliqfx,yyihkqzxrjgyqkjoguouslwqloahhpqkkljjsnfjbaaobilldowqyawsixbrghjepawktlfratchlryqxlmmujuseqpeivjwymtd,42862520,42862690,1720002507083,1720002507084,1000,13,jsmhmdvpeayrstdjqgblkvyxmaqflywopqnrskzhgebbikjssyjbslqvezpoqnpfyuqqhnexdrsvodfumodzqadrlduueesfdbsdvzpbkmydimtqwgtmrfvxdchkmmyhvdneinizqotmyvxrocvunlzilqiphfwtpobjwtjqwlkirzpneiuwiakntseahynjgojsuhicfpnqntpjuiuppwgzktiikywxyyabvrvmsromhxchvmlavoydordcwvuenzcffuyuuoyguxwpkqqvultodkdlwujimwnokhleobbtifbjmbeptkgxtjsobtrkxrgucxayuuxywcaznvaileznsnwwergoryegbyvupnouco
1008,nrcmwdutszzgtrikrozh,vcxsuhocrjhkaolsmrlmuvdakhnjmaoqphpogyyxwxkdjwjhkcjgwuzuatrueptvkurknagssqxfnalbapjdoflxknbmkmckfyum,2344,181973,1720002507083,1720002507084,1000,10,kvgytharwzfalrqengfuetoqwmjjfyjbjeprlplqezzfuowzlkkspjdsfizzdpajuiwriexuzsqchxxkooqtlxhgjcyzjdokcwboiynjxsijpegieqwyguyavwqjoldvxjeldubvacfutfzvhwrwylnbayntjjxuqfsamkmgbyiaairxxvmaxvskqvnvvvcmzaamdqruzasfgaksgqekpnnsqnqhzmplydsvibobtqfnphpqjvjfkwmtrwennvyncpxfcvuesmxctouzacwhclierxkqpdchjfqdqsalxwzw
1009,ardlfhahhcufhfgkkncz,otkqusqbianfafvqtqimkbfxfwkftfubqdbwzeaabnrvfphyzyptigaexqpvunjurfxijksnmzdevueoobqdmbijionqyvgmluiz,112,99969808,1720002507083,1720002507084,1000,12,ydljakscmacjcnivqefyhyfeqdozkvgpsbjvagjjipgmlepcplydqogrssvtqsefwtbhpozklggzghmznjxtfyupeomhcbwqsfmktwklbsmocygpbjvtdcidigmshvaywsweukgegctsgowqzivqhfjxusxtywocftvvsvcxknpzasmxxaduvgmpfceiykwhffkfxpemkhjefrwvkgzkmjiccqewddyaghuavbeeetrykqfzlhupiszeesbpkuruhjolcdsruhdlvnpnlrrmveembkqmdbfhszrvjjnphykcqjwzedolyqhdosnbbzxxaehkjkdvnnrylmeahooexbvmgszlw
1010,ggmnhsgcnzykjaamscgi,ymgfingpaeomaarsotbrfcqjqnrxdivictqipxkilguvjzfoxaeeuvvxjwuvjlulawronftfjyiklkaqbjlkxzjrizwlolckhktc,1145702,1708573,1720002507083,1720002507084,1000,10,twgkxjruptqszdjibndytctbkjcmdvwhegiuzjxnxjwgffzlklnzybzsvfpfepeqnmbmsjpqzzvfcrrepeioemtzlxrldugwowpipclvhdjjnxyrxfigllqfpjaufcmsajlndhhyawxhbomcqkedkkniefkrjpoppclyvwkounbzaeygpbydpsdxlgqoebpfflxuafbwwbfbxxgskolwyuqybwjqlqudsikgsaacjgsfefsuxbgsygioqrzmxdtuuiqpulqjdyruiegzhiaooecwyorrutvvcnx
