auction,bidder,price,channel,url,date_time,extra
1000,1001,73134520,channel-7568,https://www.nexmark.com/rswp/bsu/_gzj/item.htm?query=1&channel_id=163053568,1713277279926,tjegpemlelrhcglaovelrtxwcwcintpbwbhwemkngirkduwbqfbwmnrtegvmrittzvxgswwdln
1000,1001,499920,Apple,https://www.nexmark.com/rxa/n_n/ffl_/item.htm?query=1,1713277279926,jeklosvdtnexframxpqsdbuwuywlmlbjmyjvpfipfsjoxnifwptbkqxspdbmbarp
1000,1001,1940,channel-9319,https://www.nexmark.com/myw/ifm/m_sq/item.htm?query=1&channel_id=433848320,1713277279926,pzepzqdyifsvfhglylargfqkbcbkzjlkaeiyztovpejbhfgtrylolcsiroxxxhpmgvmcjotmkqm
1000,1007,12655,channel-5136,https://www.nexmark.com/xzhz/ymqf/_kk/item.htm?query=1&channel_id=136839168,1713277279926,qhiuddzxkwtrizmymepteufqpqlmdemynslszjiyvwsbfsothgntfxfqyqbmthudqxcdpheoanc
1004,1001,3992,Baidu,https://www.nexmark.com/ivb/a_m/p_f_/item.htm?query=1,1713277279926,fudpgwppfqdfyfvfbjwhygmbppaiwvubizlslqhqbpoyinrtayjwamumhoucraahlcpvtfgqppowikqo
1012,1003,19269,channel-5775,https://www.nexmark.com/g_oh/jlh/q_cf/item.htm?query=1&channel_id=244842496,1713277279926,svzrxcrvhfccpwjyqffpjxxdcswbhxfufgzhmaxpogtxndwvlhezspphzqcbbtuit
1000,1001,2419091,Google,https://www.nexmark.com/vzbh/ewxa/yha/item.htm?query=1,1713277279926,rthoyqrqsnaalanrzuvulspeumufvvwpfwczanrzowgwrphioovqxuvkzlqq
1000,1001,43672280,channel-9550,https://www.nexmark.com/_nn/lygr/gxtw/item.htm?query=1&channel_id=1923350528,1713277279926,kdhacjjzzusqkotfriqydoioczlirqikymlqeshwnhutyrvrxallxp
1008,1002,28953332,channel-5698,https://www.nexmark.com/_ft/bwl/hh_/item.htm?query=1&channel_id=1114112000,1713277279926,qibioqgxtcuhgvokupqnehhlsddrlezyuahesajntzcodcagsvgtjzhffwdugjggbwnrraoxyufucy
1000,1010,235,Facebook,https://www.nexmark.com/_iyk/xmeu/gsic/item.htm?query=1,1713277279926,rvktgfkfpwwppbunsvlivfuoyrfimeudjvcfsamsrkncsapjzmjizaxjqdxyjaqpyxyytomjyrjcdhx
