auction,bidder,price,channel,url,date_time,extra
1000,1001,73134520,channel-7568,https://www.nexmark.com/rswp/bsu/_gzj/item.htm?query=1&channel_id=163053568,1717592337305,tjegpemlelrhcglaovelrtxwcwcintpbwbhwemkngirkduwbqfbwmnrtegvmrittzvxgswwdln
1000,1001,499920,Apple,https://www.nexmark.com/rxa/n_n/ffl_/item.htm?query=1,1717592337305,jeklosvdtnexframxpqsdbuwuywlmlbjmyjvpfipfsjoxnifwptbkqxspdbmbarp
1000,1001,1940,channel-9319,https://www.nexmark.com/myw/ifm/m_sq/item.htm?query=1&channel_id=433848320,1717592337305,pzepzqdyifsvfhglylargfqkbcbkzjlkaeiyztovpejbhfgtrylolcsiroxxxhpmgvmcjotmkqm
1000,1007,12655,channel-5136,https://www.nexmark.com/xzhz/ymqf/_kk/item.htm?query=1&channel_id=136839168,1717592337305,qhiuddzxkwtrizmymepteufqpqlmdemynslszjiyvwsbfsothgntfxfqyqbmthudqxcdpheoanc
1004,1001,3992,Baidu,https://www.nexmark.com/ivb/a_m/p_f_/item.htm?query=1,1717592337305,fudpgwppfqdfyfvfbjwhygmbppaiwvubizlslqhqbpoyinrtayjwamumhoucraahlcpvtfgqppowikqo
1012,1003,19269,channel-5775,https://www.nexmark.com/g_oh/jlh/q_cf/item.htm?query=1&channel_id=244842496,1717592337305,svzrxcrvhfccpwjyqffpjxxdcswbhxfufgzhmaxpogtxndwvlhezspphzqcbbtuit
1000,1001,2419091,Google,https://www.nexmark.com/vzbh/ewxa/yha/item.htm?query=1,1717592337305,rthoyqrqsnaalanrzuvulspeumufvvwpfwczanrzowgwrphioovqxuvkzlqq
1000,1001,43672280,channel-9550,https://www.nexmark.com/_nn/lygr/gxtw/item.htm?query=1&channel_id=1923350528,1717592337305,kdhacjjzzusqkotfriqydoioczlirqikymlqeshwnhutyrvrxallxp
1008,1002,28953332,channel-5698,https://www.nexmark.com/_ft/bwl/hh_/item.htm?query=1&channel_id=1114112000,1717592337305,qibioqgxtcuhgvokupqnehhlsddrlezyuahesajntzcodcagsvgtjzhffwdugjggbwnrraoxyufucy
1000,1010,235,Facebook,https://www.nexmark.com/_iyk/xmeu/gsic/item.htm?query=1,1717592337305,rvktgfkfpwwppbunsvlivfuoyrfimeudjvcfsamsrkncsapjzmjizaxjqdxyjaqpyxyytomjyrjcdhx
1001,1004,96533552,Facebook,https://www.nexmark.com/_iyk/xmeu/gsic/item.htm?query=1,1717592337305,fezdhcpybvhaiwsokmivdihtclwflqalyckjwsfkthzeabrnikkmpoudvbh
1007,1001,242,channel-3148,https://www.nexmark.com/jge/pdmf/h_yz/item.htm?query=1&channel_id=842006528,1717592337305,nnivqhuhhrdwzxotpjqhyvtjgjmwjjpqcaisarvavlkdzwgwfwlwyiqppyjeasqchjc
1000,1001,373,channel-426,https://www.nexmark.com/qtfa/hhg/ti_b/item.htm?query=1&channel_id=1434451968,1717592337305,pvsedwtvfibtwmblcjbwwqcmxyiheagofirtzcugajszuknflpzrifvcmkhdb
1012,1001,71083760,Apple,https://www.nexmark.com/rxa/n_n/ffl_/item.htm?query=1,1717592337305,nzewfezyahqvwzyhlexrxkitceccirlzmobbgmzqyxdqikfibdcwln
1000,1003,647009,Apple,https://www.nexmark.com/rxa/n_n/ffl_/item.htm?query=1,1717592337305,ioovjnotukogjunozhdizqcnbjnrxmeilzbzklsbqnhigywncfwvclgiwtqfa
1009,1001,209960,Google,https://www.nexmark.com/vzbh/ewxa/yha/item.htm?query=1,1717592337305,oejlpluvzbupntipmypawwfhknjcdsybftuvelvvxdooipdhtymncfpssszmyuzrpkiptljknkjcgcij
