test_name,backend,elapsed_s,resident_k,user,system,status
test_nullable_filter_filter_select_select,duckdb,1.70,255460,1.82,0.80,0
test_nullable_filter_filter_select_select,duckdb,1.70,253328,1.83,0.79,0
test_nullable_filter_filter_select_select,duckdb,1.68,257620,1.73,0.88,0
test_nullable_filter_filter_select_select,duckdb,1.71,257808,2.70,0.82,0
test_nullable_filter_filter_select_select,duckdb,1.70,255280,1.80,0.82,0
test_nullable_filter_filter_select_select,duckdb,1.71,261924,2.65,0.87,0
test_nullable_filter_filter_select_select,duckdb,1.68,253352,1.77,0.83,0
test_nullable_filter_filter_select_select,duckdb,1.70,255496,1.79,0.83,0
test_nullable_filter_filter_select_select,duckdb,1.69,263880,1.73,0.88,0
test_nullable_filter_filter_select_select,duckdb,1.69,259484,1.74,0.87,0
test_nullable_filter_filter_select_select,duckdb,1.69,255420,1.70,0.91,0
test_nullable_filter_filter_select_select,polars,1.74,275800,1.83,0.83,0
test_nullable_filter_filter_select_select,polars,1.75,286492,1.86,0.82,0
test_nullable_filter_filter_select_select,polars,1.75,282540,2.75,0.82,0
test_nullable_filter_filter_select_select,polars,1.74,276124,1.84,0.81,0
test_nullable_filter_filter_select_select,polars,1.74,281892,1.86,0.80,0
test_nullable_filter_filter_select_select,polars,1.74,284224,1.80,0.87,0
test_nullable_filter_filter_select_select,polars,1.74,278352,1.77,0.89,0
test_nullable_filter_filter_select_select,polars,1.75,278244,1.78,0.89,0
test_nullable_filter_filter_select_select,polars,1.74,280276,1.84,0.83,0
test_nullable_filter_filter_select_select,polars,1.74,280292,1.85,0.82,0
test_nullable_filter_filter_select_select,polars,1.74,284460,1.81,0.86,0
test_nullable_filter_filter_select_select,flink,4.40,340760,2.38,0.86,0
test_nullable_filter_filter_select_select,flink,3.41,343084,2.30,0.88,0
test_nullable_filter_filter_select_select,flink,3.41,346768,2.31,0.86,0
test_nullable_filter_filter_select_select,flink,3.42,349200,2.23,0.96,0
test_nullable_filter_filter_select_select,flink,3.40,344860,2.31,0.85,0
test_nullable_filter_filter_select_select,flink,3.41,345000,2.25,0.93,0
test_nullable_filter_filter_select_select,flink,3.39,340736,2.25,0.93,0
test_nullable_filter_filter_select_select,flink,3.42,342544,2.29,0.89,0
test_nullable_filter_filter_select_select,flink,3.43,342632,2.26,0.93,0
test_nullable_filter_filter_select_select,flink,3.42,344732,2.28,0.90,0
test_nullable_filter_filter_select_select,flink,3.43,338668,2.17,1.00,0
test_nullable_filter_filter_select_select,renoir,2.04,283760,6.78,1.01,0
test_nullable_filter_filter_select_select,renoir,1.93,270292,6.69,1.03,0
test_nullable_filter_filter_select_select,renoir,1.96,273992,6.84,1.01,0
test_nullable_filter_filter_select_select,renoir,1.95,272156,6.70,1.08,0
test_nullable_filter_filter_select_select,renoir,1.92,270412,6.64,1.06,0
test_nullable_filter_filter_select_select,renoir,1.93,276160,6.75,0.98,0
test_nullable_filter_filter_select_select,renoir,1.95,273448,6.70,1.09,0
test_nullable_filter_filter_select_select,renoir,1.94,280340,6.75,1.07,0
test_nullable_filter_filter_select_select,renoir,1.95,279036,6.88,0.94,0
test_nullable_filter_filter_select_select,renoir,1.95,271664,6.76,1.03,0
test_nullable_filter_filter_select_select,renoir,1.95,268336,6.83,0.96,0
test_nullable_filter_group_mutate,duckdb,0.98,378152,2.57,0.85,0
test_nullable_filter_group_mutate,duckdb,0.99,377852,2.55,0.85,0
test_nullable_filter_group_mutate,duckdb,0.99,410404,2.58,0.84,0
test_nullable_filter_group_mutate,duckdb,0.98,377628,2.59,0.81,0
test_nullable_filter_group_mutate,duckdb,0.99,377896,2.56,0.88,0
test_nullable_filter_group_mutate,duckdb,0.99,410408,2.47,0.93,0
test_nullable_filter_group_mutate,duckdb,0.98,410500,2.56,0.83,0
test_nullable_filter_group_mutate,duckdb,0.98,375568,2.54,0.85,0
test_nullable_filter_group_mutate,duckdb,0.99,408208,2.56,0.87,0
test_nullable_filter_group_mutate,duckdb,0.97,377824,2.49,0.89,0
test_nullable_filter_group_mutate,duckdb,0.98,377756,2.47,0.89,0
test_nullable_filter_group_mutate,polars,1.04,400520,2.61,0.86,0
test_nullable_filter_group_mutate,polars,1.04,400452,2.63,0.82,0
test_nullable_filter_group_mutate,polars,1.04,398196,2.53,0.92,0
test_nullable_filter_group_mutate,polars,1.03,400540,2.59,0.88,0
test_nullable_filter_group_mutate,polars,1.03,400716,2.52,0.94,0
test_nullable_filter_group_mutate,polars,1.04,400528,2.59,0.87,0
test_nullable_filter_group_mutate,polars,1.04,398528,2.53,0.91,0
test_nullable_filter_group_mutate,polars,1.04,400412,2.56,0.89,0
test_nullable_filter_group_mutate,polars,1.03,400224,2.58,0.85,0
test_nullable_filter_group_mutate,polars,1.04,400628,2.67,0.80,0
test_nullable_filter_group_mutate,polars,1.04,400752,2.61,0.89,0
test_nullable_filter_group_mutate,flink,2.70,463216,3.15,0.85,0
test_nullable_filter_group_mutate,flink,2.73,465324,3.07,0.88,0
test_nullable_filter_group_mutate,flink,2.74,497840,3.06,0.91,0
test_nullable_filter_group_mutate,flink,2.67,495604,3.06,0.92,0
test_nullable_filter_group_mutate,flink,2.69,495680,2.96,0.97,0
test_nullable_filter_group_mutate,flink,2.74,463712,3.03,0.91,0
test_nullable_filter_group_mutate,flink,2.77,463636,3.09,0.90,0
test_nullable_filter_group_mutate,flink,2.67,495988,2.99,0.94,0
test_nullable_filter_group_mutate,flink,2.69,463052,3.03,0.90,0
test_nullable_filter_group_mutate,flink,2.72,463200,2.99,0.97,0
test_nullable_filter_group_mutate,flink,2.77,463132,3.01,0.99,0
test_nullable_filter_group_mutate,renoir,2.78,333504,13.67,1.13,0
test_nullable_filter_group_mutate,renoir,2.72,338524,13.65,1.10,0
test_nullable_filter_group_mutate,renoir,2.76,332328,13.74,1.05,0
test_nullable_filter_group_mutate,renoir,2.71,332160,13.76,0.95,0
test_nullable_filter_group_mutate,renoir,2.74,341928,13.77,1.07,0
test_nullable_filter_group_mutate,renoir,2.75,337204,13.94,1.00,0
test_nullable_filter_group_mutate,renoir,2.77,329764,13.56,1.14,0
test_nullable_filter_group_mutate,renoir,2.76,327428,13.72,1.10,0
test_nullable_filter_group_mutate,renoir,2.76,328496,13.79,1.03,0
test_nullable_filter_group_mutate,renoir,2.73,333140,13.69,1.08,0
test_nullable_filter_group_mutate,renoir,2.76,332628,13.71,1.04,0
test_nullable_filter_group_mutate_reduce,duckdb,7.33,3434536,11.62,1.82,0
test_nullable_filter_group_mutate_reduce,duckdb,7.34,3431636,11.75,1.77,0
test_nullable_filter_group_mutate_reduce,duckdb,7.36,3432944,11.57,1.94,0
test_nullable_filter_group_mutate_reduce,duckdb,7.31,3428232,11.60,1.85,0
test_nullable_filter_group_mutate_reduce,duckdb,7.37,3432652,11.56,1.94,0
test_nullable_filter_group_mutate_reduce,duckdb,7.35,3428932,11.57,1.94,0
test_nullable_filter_group_mutate_reduce,duckdb,7.30,3410032,11.42,1.93,0
test_nullable_filter_group_mutate_reduce,duckdb,7.31,3435640,11.49,1.90,0
test_nullable_filter_group_mutate_reduce,duckdb,7.34,3424396,11.51,1.94,0
test_nullable_filter_group_mutate_reduce,duckdb,7.33,3433084,11.50,1.94,0
test_nullable_filter_group_mutate_reduce,duckdb,7.36,3416932,11.64,1.85,0
test_nullable_filter_group_mutate_reduce,polars,7.42,3458188,11.65,1.88,0
test_nullable_filter_group_mutate_reduce,polars,7.53,3433280,11.73,1.80,0
test_nullable_filter_group_mutate_reduce,polars,7.49,3444388,11.72,1.85,0
test_nullable_filter_group_mutate_reduce,polars,7.43,3447004,11.57,1.86,0
test_nullable_filter_group_mutate_reduce,polars,7.47,3459648,11.67,1.91,0
test_nullable_filter_group_mutate_reduce,polars,7.67,3456544,11.86,1.92,0
test_nullable_filter_group_mutate_reduce,polars,7.41,3439032,11.64,1.92,0
