level,timestamp,test_name,renoir_compile_time,renoir_execution_time,ibis_total_time
INFO,2024-06-06 15:59:41.460,test_nullable_filter_select,40.3610624240s,0.2960564230s,0.0540815500s
INFO,2024-06-06 16:00:13.010,test_nexmark_query_1,2.7236420530s,0.0953565800s,0.0393924390s
INFO,2024-06-06 16:00:15.750,test_nexmark_query_2,2.5252604230s,0.0997566740s,0.0479922630s
INFO,2024-06-06 16:00:22.012,test_nexmark_query_3,6.0797061819s,0.1004219520s,0.0261980950s
INFO,2024-06-06 16:00:30.717,test_nexmark_query_4,8.4595349230s,0.0963082900s,0.0735732249s
INFO,2024-06-06 16:00:39.799,test_nexmark_query_6,8.8591498690s,0.0976169100s,0.0713669100s
INFO,2024-06-06 16:00:43.362,test_non_nullable_filter_filter_select_select,2.6255154890s,0.0934889080s,0.0722958700s
INFO,2024-06-06 16:00:48.253,test_non_nullable_filter_group_mutate,4.7557982810s,0.0955311600s,0.0190460420s
INFO,2024-06-06 16:00:52.603,test_non_nullable_filter_group_mutate_reduce,4.2109382990s,0.0994044540s,0.0212706570s
INFO,2024-06-06 16:00:57.404,test_non_nullable_filter_group_select,4.6735106950s,0.0939370079s,0.0191936940s
INFO,2024-06-06 16:01:01.465,test_non_nullable_filter_reduce,3.9389813550s,0.0940970330s,0.0153565680s
INFO,2024-06-06 16:01:04.254,test_non_nullable_filter_select,2.6652105300s,0.0940761670s,0.0159871430s
INFO,2024-06-06 16:01:13.615,test_non_nullable_group_reduce_group_reduce_join,9.2202884600s,0.0963536690s,0.0255806170s
INFO,2024-06-06 16:01:22.595,test_non_nullable_group_reduce_join_mutate,8.8321183770s,0.0969687330s,0.0283280190s
INFO,2024-06-06 16:01:29.467,test_non_nullable_inner_join_select,6.7226595300s,0.0956974830s,0.0328668120s
INFO,2024-06-06 16:01:38.660,test_non_nullable_join_group_reduce,9.0395744310s,0.1029440570s,0.0278981740s
INFO,2024-06-06 16:01:45.167,test_non_nullable_left_join,6.3148128030s,0.0963591810s,0.0681967650s
INFO,2024-06-06 16:01:51.446,test_non_nullable_outer_join,6.1303543130s,0.0971504570s,0.0239628030s
INFO,2024-06-06 16:01:54.510,test_nullable_filter_filter_select_select,2.9314397030s,0.0951533050s,0.0116212980s
