timestamp,memory_KB
20240829151417,348200
20240829151418,348200
20240829151419,347932
20240829151420,347932
20240829151421,347708
20240829151422,347708
20240829151423,347708
20240829151424,347576
20240829151425,347576
20240829151426,347576
20240829151427,347576
20240829151428,347576
20240829151429,347576
20240829151430,347576
20240829151431,347576
20240829151432,347576
20240829151433,347576
20240829151434,347576
20240829151435,347576
20240829151436,347576
20240829151437,347576
20240829151438,347292
20240829151439,347292
20240829151440,347292
20240829151441,346788
20240829151442,346788
20240829151443,346336
20240829151444,346336
20240829151445,346336
20240829151446,346336
20240829151447,346336
20240829151448,346336
20240829151449,346336
20240829151450,346336
20240829151451,345892
20240829151452,345892
20240829151453,345620
20240829151454,345620
20240829151455,345620
20240829151456,345620
20240829151457,345620
20240829151458,345620
20240829151459,345620
20240829151500,345620
20240829151501,345332
20240829151502,345332
20240829151503,345180
20240829151504,345180
20240829151505,345020
20240829151506,345020
20240829151507,345020
20240829151508,345020
20240829151509,345020
20240829151510,345020
20240829151511,690644
20240829151513,748444
20240829151514,757016
20240829151515,748300
20240829151516,708092
20240829151517,691724
20240829151518,672912
20240829151519,639452
20240829151520,641728
20240829151521,630552
20240829151522,634508
20240829151523,629344
20240829151524,630456
20240829151525,635732
20240829151526,637688
20240829151527,639276
20240829151528,637764
20240829151529,635032
20240829151530,640028
20240829151531,646608
20240829151532,644496
20240829151533,647572
20240829151534,648824
20240829151535,650928
20240829151536,652720
20240829151537,651996
20240829151538,660792
20240829151539,666844
20240829151540,663248
20240829151541,665344
20240829151542,667008
20240829151543,663940
20240829151544,665980
20240829151545,666864
20240829151546,670732
20240829151547,676276
20240829151548,724156
20240829151549,719820
20240829151550,717432
20240829151551,713424
20240829151552,749988
20240829151553,740600
20240829151554,736152
20240829151555,730188
20240829151556,739360
20240829151557,733576
20240829151558,733200
20240829151559,763832
20240829151600,738720
20240829151601,731112
20240829151602,725148
20240829151603,741212
20240829151604,737632
20240829151605,730908
20240829151606,728592
20240829151607,745052
20240829151608,740080
20240829151610,736208
20240829151611,775172
20240829151612,758688
20240829151613,758688
20240829151614,747528
20240829151615,752756
20240829151616,798004
20240829151617,779592
20240829151618,774396
20240829151619,765752
20240829151620,763260
20240829151621,785284
20240829151622,785284
20240829151623,777968
20240829151624,768092
20240829151625,769836
20240829151626,789452
20240829151627,789452
20240829151628,782348
20240829151629,779380
20240829151630,820616
20240829151631,790156
20240829151632,773376
20240829151633,769880
20240829151634,768144
20240829151635,781736
20240829151636,781068
20240829151637,769964
20240829151638,769564
20240829151639,869804
20240829151640,929296
20240829151641,929296
20240829151642,929296
20240829151643,904580
20240829151644,868944
20240829151645,866964
20240829151646,1023376
20240829151647,996740
20240829151648,996460
20240829151649,996460
20240829151650,944236
20240829151651,920408
20240829151652,1025988
20240829151653,999952
20240829151654,999676
20240829151655,999676
20240829151656,975688
20240829151657,927120
20240829151658,924496
20240829151659,1062328
20240829151700,1005600
20240829151701,1005160
20240829151702,992204
20240829151703,954108
20240829151704,942556
20240829151705,962132
20240829151706,1083988
20240829151707,1002068
20240829151708,1002068
20240829151709,973068
20240829151710,936152
20240829151711,929828
20240829151712,1063624
20240829151713,1003820
20240829151714,1003820
20240829151716,1003820
20240829151717,840096
20240829151718,840096
20240829151719,839960
20240829151720,839960
20240829151721,839960
20240829151722,790088
20240829151723,790088
20240829151724,769152
20240829151725,769152
20240829151726,769152
20240829151727,769152
20240829151728,769152
20240829151729,769152
20240829151730,769152
20240829151731,769152
20240829151732,767408
20240829151733,765472
20240829151734,765472
20240829151735,765472
20240829151736,765472
20240829151737,763744
20240829151738,763744
20240829151739,761680
20240829151740,761680
20240829151741,757224
20240829151742,757224
20240829151743,757224
20240829151744,754604
20240829151745,754476
20240829151746,754476
20240829151747,754348
20240829151748,754348
20240829151749,754348
20240829151750,754348
20240829151751,754348
20240829151752,753564
20240829151753,747816
20240829151754,747816
20240829151755,747816
20240829151756,747816
20240829151757,744324
20240829151758,744324
